Page 1

 Vref   Iref   Pref        Gain         Voltage             Error             Power
====== ====== ====== =============== ============== ==================== ===============
20     0.42   8.4    0.5             20.521         1                    8.61882
20.6   0.93   19.158 0.5024875621890 21.45719651741 1.01                 19.955192761194
19.27  0.45   8.6715 0.5049504950495 20.74699987648 1.02                 9.3361499444173
20.1   0.78   15.678 0.5073891625615 20.84079746422 1.03                 16.255822022099
19.8   0.83   16.434 0.5098039215686 20.18419483540 1.04                 16.752881713387
19.36  0.72   13.939 0.5121951219512 20.04554626117 1.05                 14.432793308045
19.42  0.75   14.565 0.5145631067961 20.24516323357 1.06                 15.183872425184
19.62  0.9    17.658 0.5169082125603 20.69526122395 1.07                 18.625735101556
19.38  0.77   14.922 0.5192307692307 20.58221212689 1.08                 15.848303337712
20.4   0.96   19.584 0.5215311004784 20.71568283583 1.09                 19.887055522403
19.32  0.84   16.228 0.5238095238095 20.13994420754 1.1                  16.917553134334
18.1   0.41   7.421  0.5260663507109 19.42777361246 1.11                 7.9653871811095
19.64  0.82   16.104 0.5283018867924 19.82183477186 1.12                 16.253904512931
19.25  0.68   13.09  0.5305164319248 19.90497984955 1.13                 13.535386297699
19.44  0.72   13.996 0.5327102803738 19.89591188247 1.14                 14.325056555385
19.21  0.55   10.565 0.5348837209302 20.27496356515 1.15                 11.151229960836
19.69  0.7    13.783 0.5370370370370 20.29597271535 1.16                 14.207180900745
19.67  0.73   14.359 0.5391705069124 18.51821668910 1.17                 13.518298183044
19.62  0.76   14.911 0.5412844036697 18.56249481151 1.18                 14.107496056751
19.58  0.68   13.314 0.5433789954337 21.11138575868 1.19                 14.355742315904
